Virksomhet,Sektor,Type virksomhet,Fylke,Kommune,Tillatelser,Kontroller
35/10-8 s kveikje n'roll (Equinor energy as)35/10-8 s kveikje n'roll (Equinor energy as),Offshore,Petroleumsvirksomhet til havs,Kontinentalsokkelen,Kontinentalsokkelen,Tillatelse,
35/4-3 laushornet (Aker bp asa)35/4-3 laushornet (Aker bp asa),Offshore,Petroleumsvirksomhet til havs,Kontinentalsokkelen,Kontinentalsokkelen,Tillatelse,
3b-fibreglass norway3b-fibreglass norway,Landbasert,"Mineralsk industri, unntatt pukkverk",Agder,Birkenes,"Tillatelse,Klimakvoter","2024,2021[...],2018,2015,2011,2007,2007,2005"
6406/6-7 s mistral sør (Equinor energy as)6406/6-7 s mistral sør (Equinor energy as),Offshore,Petroleumsvirksomhet til havs,Kontinentalsokkelen,Kontinentalsokkelen,Tillatelse,
6607/12-5 og 6607/12-5 a uer (Equinor energy as)6607/12-5 og 6607/12-5 a uer (Equinor energy as),Offshore,Petroleumsvirksomhet til havs,Kontinentalsokkelen,Kontinentalsokkelen,Tillatelse,
7 steel nordic (tidl. celsa armeringsstål)7 steel nordic (tidl. celsa armeringsstål),Landbasert,Metallurgisk industri,Nordland,Rana,"Tillatelse,Klimakvoter","2025,2024[...],2022,2020,2017,2015,2013,2011,2009,2007,2005"
"7 steel nordic manufacturing,  eksport og import av avfall (7 steel nordic manufacturing as)7 steel nordic manufacturing,  eksport og import av avfall (7 steel nordic manufacturing as)",Eksport/import,Eksport av avfall fra produsent,Nordland,Rana,"Tillatelse,Tillatelse",
A. johansen asA. johansen as,Landbasert,Fiskeforedling,Nordland,Røst,Tillatelse,2019
A/s stordbase (Norsea logistics as)A/s stordbase (Norsea logistics as),Avfall,"Avfall - mottak, mellomlagring og sortering",Vestland,Stord,Tillatelse,2018
"Abelsnes, matfisk og settefisk (Norsk oppdrettsservice as)Abelsnes, matfisk og settefisk (Norsk oppdrettsservice as)",Akvakultur,Marinfiskproduksjon på land,Agder,Flekkefjord,Tillatelse,"2024,2017"
"Adamselv, settefisk (Cermaq finnmark as)Adamselv, settefisk (Cermaq finnmark as)",Akvakultur,Laksefiskproduksjon på land,Finnmark,Lebesby,Tillatelse,"2025,2024[...],2020,2014,2010"
Addcon nordicAddcon nordic,Landbasert,Kjemisk industri,Telemark,Porsgrunn,Tillatelse,"2024,2019[...],2016,2012,2008"
Adesso bioproductsAdesso bioproducts,Landbasert,Kjemisk industri,Østfold,Fredrikstad,Tillatelse,"2025,2022[...],2020,2018,2016,2015,2011"
"Adjetjohka, matfisk og settefisk (Innsjøfisk as)Adjetjohka, matfisk og settefisk (Innsjøfisk as)",Akvakultur,Kultiveringsanlegg,Finnmark,Kautokeino,Tillatelse,
Adriana og sabina (Harbour energy norge as)Adriana og sabina (Harbour energy norge as),Offshore,Petroleumsvirksomhet til havs,Kontinentalsokkelen,Kontinentalsokkelen,Tillatelse,
Af gruppen -  e18 tvedestrand og arendal - bunnrenskemasser (Af gruppen norge as)Af gruppen -  e18 tvedestrand og arendal - bunnrenskemasser (Af gruppen norge as),Engangstiltak,Annen aktivitet,Agder,Arendal,Tillatelse,
"Af offshore decom avd vats, eksport og import av avfall (Af offshore decom as)Af offshore decom avd vats, eksport og import av avfall (Af offshore decom as)",Eksport/import,Eksport fra / import til avfallsanlegg,Rogaland,Vindafjord,"Tillatelse,Tillatelse",
Af offshore decom miljøbase vatsAf offshore decom miljøbase vats,Landbasert,Skipsgjenvinning,Rogaland,Vindafjord,Tillatelse,"2025,2023[...],2020,2017,2014,2012,2010,2008"
"Aker solutions as, lokasjon stord (demolering)Aker solutions as, lokasjon stord (demolering)",Landbasert,Skipsgjenvinning,Vestland,Stord,Tillatelse,"2025,2024[...],2020,2020,2019,2017,2014"
"Aker stord i, eldøyane (Aker solutions as)Aker stord i, eldøyane (Aker solutions as)",Avløp,Privat avløpsanlegg,Vestland,Stord,Tillatelse,"2021,2015"
"Aker stord ii, kjøtteinståa (Aker solutions as)Aker stord ii, kjøtteinståa (Aker solutions as)",Avløp,Privat avløpsanlegg,Vestland,Stord,Tillatelse,"2021,2015"
Akerselva - bjølsen - ny vannforsyning oslo (Oslo kommune vann- og avløpsetaten)Akerselva - bjølsen - ny vannforsyning oslo (Oslo kommune vann- og avløpsetaten),Engangstiltak,Midlertidig anleggsvirksomhet,Oslo,Oslo,Tillatelse,
"Alcoa aluminium lista, gammelt industrideponi (Alcoa norway as)Alcoa aluminium lista, gammelt industrideponi (Alcoa norway as)",Deponi,Industrideponering,Agder,Farsund,Tillatelse,"2019,2014[...],2010"
"Alcoa aluminium lista, nytt industrideponi (Alcoa norway as)Alcoa aluminium lista, nytt industrideponi (Alcoa norway as)",Deponi,Industrideponering,Agder,Farsund,Tillatelse,"2014,2010"
Alcoa listaAlcoa lista,Landbasert,Metallurgisk industri,Agder,Farsund,"Tillatelse,Klimakvoter","2025,2023[...],2022,2019,2017,2014,2012,2011,2010,2008,2004"
Alcoa norway as mosjøenAlcoa norway as mosjøen,Landbasert,Metallurgisk industri,Nordland,Vefsn,"Tillatelse,Klimakvoter","2025,2024[...],2023,2021,2020,2018,2018,2017,2016,2016,2014,2013,2010,2009"
Alcoa norway as mosjøen (Alcoa norway as)Alcoa norway as mosjøen (Alcoa norway as),Deponi,Industrideponering,Nordland,Vefsn,Tillatelse,
Alcoa norway as mosjøen (Alcoa norway as)Alcoa norway as mosjøen (Alcoa norway as),Engangstiltak,Mudring,Nordland,Vefsn,Tillatelse,
Alcoa norway as mosjøen (Alcoa norway as)Alcoa norway as mosjøen (Alcoa norway as),Engangstiltak,Mudring,Nordland,Vefsn,Tillatelse,
Alcoa norway as mosjøen lille åsnevdal (Alcoa norway as)Alcoa norway as mosjøen lille åsnevdal (Alcoa norway as),Deponi,Industrideponering,Nordland,Vefsn,Tillatelse,
"Alcoa norway as mosjøen, store åsnevdal - industrideponi (Alcoa norway as)Alcoa norway as mosjøen, store åsnevdal - industrideponi (Alcoa norway as)",Deponi,Industrideponering,Nordland,Vefsn,Tillatelse,"2024,2019[...],2009"
"Alcoa norway avd mosjøen, eksport og import av avfall (Alcoa norway as)Alcoa norway avd mosjøen, eksport og import av avfall (Alcoa norway as)",Eksport/import,Eksport av avfall fra produsent,Nordland,Vefsn,Tillatelse,
"Aldalen, matfisk (As bolaks)Aldalen, matfisk (As bolaks)",Akvakultur,Laksefiskproduksjon i sjø,Vestland,Bjørnafjorden,Tillatelse,2012
"Aldalen, matfisk (Bolaks sjø as)Aldalen, matfisk (Bolaks sjø as)",Akvakultur,Laksefiskproduksjon i sjø,Vestland,Bjørnafjorden,Tillatelse,
Alf engen as - anlegg for returasfalt og returbetong (Alf engen as)Alf engen as - anlegg for returasfalt og returbetong (Alf engen as),Avfall,Annen aktivitet,Møre og Romsdal,Sunndal,Tillatelse,2017
Alfaset krematoriumAlfaset krematorium,Landbasert,Krematorium,Oslo,Oslo,Tillatelse,"2024,2017[...],2011"
Algea asAlgea as,Landbasert,Fôrproduksjon,Møre og Romsdal,Kristiansund,Tillatelse,"2015,2011"
Algea as - tangforedlingsfabrikkAlgea as - tangforedlingsfabrikk,Landbasert,Fôrproduksjon,Nordland,Brønnøy,Tillatelse,2020
"Alida, matfisk (Ode as)Alida, matfisk (Ode as)",Akvakultur,Marinfiskproduksjon i sjø,Møre og Romsdal,Volda,"Tillatelse,Tillatelse",
