Row Labels,Count of Column3
Tine SA,24
Nortura SA,16
Avinor AS,9
Sar AS,7
Hydro Aluminium AS,7
Veidekke AS,5
Veidekke Industri AS,5
Norsk Gjenvinning AS,5
Hoff SA,5
Eidsiva Bioenergi AS,5
Velde Produksjon AS,4
Solør Bioenergi AS,4
Punktutslipp Fra Landbruk,4
Franzefoss Pukk AS,4
Hermod Teigen,4
Rv. 7 Rallerud Og Ørgenvika,3
Sibelco Nordic AS,3
Viking Norsafe Life-saving Equipment Norway AS,3
Skretting Fôrfabrikk,3
Statens Vegvesen,3
Orkla Foods Norge AS,3
Mowi,3
Nor Tekstil AS,3
Heidelberg Materials Betong Norge AS,3
Jangaard Export AS,3
Eramet Norway AS,3
Ewos AS,3
Bergene Holm AS,3
Biosirk Norge AS,3
Safeclean AS,2
Seagarden AS,2
Ytterøykylling AS,2
Tine Meieriet Vest BA,2
Slakthuset Eidsmo Dullum,2
Skaland Graphite AS,2
Vik Ørsta AS,2
Tschudi Arctic Transit,2
Stena Recycling AS,2
Vask Av Offshoreutstyr,2
Swerock AS,2
Peab Asfalt,2
Omya Hustadmarmor AS,2
Ncc Roads AS,2
Myre Fiskemottak AS,2
Pelagia Hordafor AS,2
Q-meieriene AS,2
Mills,2
Nuas Technology AS,2
Inovyn Norge,2
Lyse Neo AS,2
Gassco AS,2
Glasopor AS,2
Heidelberg Materials Miljø AS,2
Grilstad AS,2
Hunton Fiber AS,2
Hafslund Celsio AS,2
J. M. Nilsen Fisk AS,2
Hamar Pukk Og Grus AS,2
Hansa Borg Bryggerier,2
Hellik Teigen,2
Aker Solutions AS,2
Ekornes AS,2
Biomar Fôrfabrikk,2
Findus,2
Elkem Testvirksomhet AS,2
Cermaq Norway AS,2
Algea AS,2
E10 Hålogalandsvegen Tunneler,2
Asfaltverk,2
Bodø Hovedflystasjon,2
Tjeldbergodden Metanolfabrikk,1
Vega Grus AS,1
Utslipp Av Borevann Og Vaskevann Fra Ramshåmmårtunnelen,1
