nace_code,nace_description,name,org_number,employees,location,municipality,postal_place,registration_date,organizational_form,website
23.51,Manufacture of cement,HEIDELBERG MATERIALS SEMENT NORGE AS,934949145,394,OSLO,OSLO,OSLO,1995-03-12,Aksjeselskap,
23.51,Manufacture of cement,HEIDELBERG MATERIALS NORWAY AS,980910369,67,OSLO,OSLO,OSLO,1999-07-10,Aksjeselskap,www.scancem.no
23.51,Manufacture of cement,AS VÅGSØY FERDIGBETONG,910963074,7,MÅLØY,KINN,MÅLØY,1995-02-19,Aksjeselskap,www.vfb.as
23.51,Manufacture of cement,BARCHIP EMEA LIMITED NUF,995837978,,Dublin,,Dublin,2010-08-19,Norskregistrert utenlandsk foretak,www.elastoplastic.com
23.51,Manufacture of cement,HEIDELBERGCEMENT AG,991306889,,,,,2007-06-27,Norskregistrert utenlandsk foretak,
23.63,Manufacture of ready-mixed concrete,ØLEN BETONG AS,953685124,241,ØLENSVÅG,VINDAFJORD,ØLENSVÅG,1995-03-12,Aksjeselskap,www.olenbetong.no
23.63,Manufacture of ready-mixed concrete,UNICON AS,942822979,116,OSLO,OSLO,OSLO,1995-02-19,Aksjeselskap,www.unicon.no
23.63,Manufacture of ready-mixed concrete,KJELLMARK AS,926744674,106,RØROS,RØROS,RØROS,2021-03-08,Aksjeselskap,
23.63,Manufacture of ready-mixed concrete,BETONG ØST AS,976076850,94,KONGSVINGER,KONGSVINGER,KONGSVINGER,1996-02-09,Aksjeselskap,
23.63,Manufacture of ready-mixed concrete,HEIDELBERG MATERIALS BETONG NORGE AS,934468740,78,OSLO,OSLO,OSLO,1995-03-12,Aksjeselskap,www.betong.heidelbergmaterials.no
23.61,Manufacture of concrete products for construction purposes,HEIDELBERG MATERIALS PREFAB NORGE AS,971507837,364,MOSS,MOSS,MOSS,1995-03-12,Aksjeselskap,prefab.heidelbergmaterials.no
23.61,Manufacture of concrete products for construction purposes,SPENNCON AS,844558082,312,HØNEFOSS,RINGERIKE,HØNEFOSS,1995-02-19,Aksjeselskap,www.spenncon.no
23.61,Manufacture of concrete products for construction purposes,OVERHALLA BETONGBYGG AS,976802756,276,OVERHALLA,OVERHALLA,OVERHALLA,1996-10-14,Aksjeselskap,www.overhallabetongbygg.no
23.61,Manufacture of concrete products for construction purposes,ØLEN BETONG AS,953685124,241,ØLENSVÅG,VINDAFJORD,ØLENSVÅG,1995-03-12,Aksjeselskap,www.olenbetong.no
23.61,Manufacture of concrete products for construction purposes,SAINT-GOBAIN BYGGEVARER AS,940198178,193,OSLO,OSLO,OSLO,1995-03-12,Aksjeselskap,
23.99,Manufacture of other non-metallic mineral products n.e.c.,HYDRO ALUMINIUM AS,917537534,3944,OSLO,OSLO,OSLO,1995-03-12,Aksjeselskap,www.hydro.com
23.99,Manufacture of other non-metallic mineral products n.e.c.,ALCOA NORWAY AS,928825345,1251,MOSJØEN,VEFSN,MOSJØEN,2022-02-25,Aksjeselskap,
23.99,Manufacture of other non-metallic mineral products n.e.c.,VEIDEKKE INDUSTRI AS,913536770,1100,OSLO,OSLO,OSLO,1995-02-19,Aksjeselskap,www.veidekke.no
23.99,Manufacture of other non-metallic mineral products n.e.c.,NCC INDUSTRY AS,984884176,463,OSLO,OSLO,OSLO,2002-09-21,Aksjeselskap,www.ncc.no
23.99,Manufacture of other non-metallic mineral products n.e.c.,OMYA HUSTADMARMOR AS,912864227,225,ELNESVÅGEN,HUSTADVIKA,ELNESVÅGEN,1995-02-19,Aksjeselskap,www.omya.com
42.11,Construction of roads and motorways,SKANSKA NORGE AS,943049467,2822,OSLO,OSLO,OSLO,1995-03-12,Aksjeselskap,
42.11,Construction of roads and motorways,MESTA AS,992804440,1599,OSLO,OSLO,OSLO,2008-06-19,Aksjeselskap,www.mesta.no
42.11,Construction of roads and motorways,HÆHRE ENTREPRENØR AS,986420010,1050,VIKERSUND,MODUM,VIKERSUND,2004-01-12,Aksjeselskap,
42.11,Construction of roads and motorways,NCC NORGE AS,911274426,835,OSLO,OSLO,OSLO,1995-03-12,Aksjeselskap,www.ncc.no
42.11,Construction of roads and motorways,RISA AS,980404129,585,NÆRBØ,HÅ,NÆRBØ,1999-01-05,Aksjeselskap,
42.99,Construction of other civil engineering projects n.e.c.,TURBOCONSTROI NORGE AS,913479157,222,DAL,EIDSVOLL,DAL,2014-04-23,Aksjeselskap,
42.99,Construction of other civil engineering projects n.e.c.,NORDISK FJELLSIKRING AS,893517952,209,SVARSTAD,LARVIK,SVARSTAD,2009-01-13,Aksjeselskap,
42.99,Construction of other civil engineering projects n.e.c.,PEAB ANLEGG AS,913502566,182,OSLO,OSLO,OSLO,2014-04-24,Aksjeselskap,
